MSFT|Microsoft Corporation
AMAT|Applied Materials, Inc.
WWD|Woodward, Inc.
VRSK|Verisk Analytics, Inc.
MA|Mastercard Incorporated
CAT|Caterpillar Inc.
MPC|Marathon Petroleum Corporation
NVDA|NVIDIA Corporation
DOV|Dover Corporation
MSI|Motorola Solutions, Inc.
BG|Bunge Global SA
SHW|The Sherwin-Williams Company
DELL|Dell Technologies Inc.
ADBE|Adobe Inc.
MDLZ|Mondelez International, Inc.
CHD|Church & Dwight Co., Inc.
META|Meta Platforms, Inc.
APD|Air Products and Chemicals, Inc.
IT|Gartner, Inc.
AJG|Arthur J. Gallagher & Co.
LRCX|Lam Research Corporation
TJX|The TJX Companies, Inc.
OC|Owens Corning
JBL|Jabil Inc.
GOOGL|Alphabet Inc.
DECK|Deckers Outdoor Corporation
ANET|Arista Networks, Inc.
ON|ON Semiconductor Corporation
TTEK|Tetra Tech, Inc.
MAR.|Marriott International, Inc.
LLY|Eli Lilly and Company
J|Jacobs Solutions Inc.
V|Visa Inc.
CMC|Commercial Metals Company
FSS|Federal Signal Corporation
FTNT|Fortinet, Inc.
ZTS|Zoetis Inc.
CDNS|Cadence Design Systems, Inc.
CLH|Clean Harbors, Inc.
WDAY|Workday, Inc.
MCHP|Microchip Technology Incorporated
CSGP|CoStar Group, Inc.
CMG|Chipotle Mexican Grill, Inc.
PLD|Prologis, Inc.
HUBS|HubSpot, Inc.
BKNG|Booking Holdings Inc.
WTS|Watts Water Technologies, Inc.
APPF|AppFolio, Inc.
AMH|American Homes 4 Rent
IRM|Iron Mountain Incorporated
PH|Parker-Hannifin
TMHC|Taylor Morrison
ROK|Rockwell Automation
MLM|Martin Marietta Materials
COST|Costco Wholesale
CTASCintas|Commercial Services - Outsourcing
PAYX|Paychex
INTU|Intuit
BAH|Booz Allen Hamilton
VMC|Vulcan Materials
IDXX|Idexx Laboratories
TREX|Trex
CEIX|Consol Energy
FICO|Fair Isaac
TPX|Tempur Sealy International
SYK|Stryker
VEEV|Veeva Systems
MSA|MSA Safety
GGG|Graco
REGN|Regeneron Pharmaceuticals
MORN|Morningstar
ITW|Illinois Tool Works
EME|Emcor
SPGI|S&P Global
MHO|M/I Homes
LAD|Lithia Motors
KBH|KB Home
ACM|Aecom Technology
RJF|Raymond James Financial
VRTX|Vertex Pharmaceuticals
TEX|Terex
CASH|Pathward Financial
PAYC|Paycom Software
EXTR|Extreme Networks
URI|United Rentals
ATI|ATI
CASY|Casey's Retail
WMT|Walmart
ITT|ITT
RBC|RBC Bearings
HRI|Herc Holdings
HLI|Houlihan Lokey
LII|Lennox International
HWKN|Hawkins
PCAR|Paccar
BZH|Beazer Homes
IPAR|Inter Parfums
AVGO|Broadcom
GPOR|Gulfport Energy
KAI|Kadant
